section_id;sort_order;steel_grade_id;tmc_catalog_id;note;percentage;formula_id;coefficient
1;1;1;13;;98,96;1;
1;1;1;62;;0,03;0;
1;1;1;30;;0,9;0;
1;1;1;32;;0,11;0;
2;1;1;682;;0;0;
2;1;1;60;;0,3;0;
1;1;3;5;;0,05;0;
1;1;3;684;;0,98;0;
1;1;3;13;;96,14;1;
1;1;3;48;;0,21;0;
1;1;3;30;;2,27;0;
1;1;3;32;;0,35;0;
2;1;3;62;;0,87;0;
1;1;35;13;;94,35;1;
1;1;35;62;;4,1;0;
1;1;35;32;;1,55;0;
2;1;35;693;;0,25;0;
2;1;35;682;;0,6;0;
1;1;40;13;;93,5;1;
1;1;40;62;;5,8;0;
1;1;40;32;;0,7;0;
2;1;40;693;;1,6;0;
2;1;40;702;;2,3;0;
1;1;42;13;;91,7;1;
1;1;42;62;;6,5;0;
1;1;42;32;;1,8;6;
2;1;42;700;;0,05;0;
2;1;42;693;;0,7;0;
2;1;42;702;;2,3;0;
1;1;44;13;;93,3;1;
1;1;44;62;;6;0;
1;1;44;30;;0;0;
1;1;44;32;;0,7;0;
2;1;44;693;;1,6;0;
2;1;44;702;;2,3;0;
1;1;59;13;;97,78;1;
1;1;59;62;;0,3;0;
1;1;59;29;;0,42;0;
1;1;59;30;;0,1;0;
1;1;59;32;;0,05;0;
1;1;59;35;;1,35;0;
2;1;59;60;;0,28;0;
2;1;59;682;;0,6;0;
1;1;61;13;;98,48;1;
1;1;61;62;;0,03;0;
1;1;61;30;;1,42;0;
1;1;61;32;;0,07;0;
2;1;61;60;;0,3;0;
2;1;61;682;;0,6;0;
1;1;64;5;;0,051;0;
1;1;64;684;;0,987;0;
1;1;64;13;;96,407;1;
1;1;64;10;;0;3;
1;1;64;48;;0,627;0;
1;1;64;30;;1,086;0;
1;1;64;32;;0,842;0;
2;1;64;62;;1,04;0;
3;2;64;;;1;0;Shlak
3;2;64;;;0;0;Ugar
1;1;65;5;;0,05;0;
1;1;65;684;;0,98;0;
1;1;65;13;;96,55;1;
1;1;65;48;0,2;0,2;0;
1;1;65;30;;1,15;0;
1;1;65;32;;1,07;0;
2;1;65;38;;0,09;0;
2;1;65;60;;0,23;0;
2;1;65;62;;0,5;0;
2;1;65;42;;0,09;0;
1;1;66;13;;99,8;1;
1;1;66;62;;0,05;0;
1;1;66;32;;0,15;0;
2;1;66;60;;0,3;0;
2;1;66;682;;0,6;0;
1;1;70;726;;17;0;
1;1;70;13;;42,43;1;
1;1;70;62;;1,02;0;
1;1;70;698;;0,35;0;
1;1;70;32;;0;0;
1;1;70;35;;39,2;0;
2;1;70;60;;0,28;0;
2;1;70;682;;0,6;0;
1;1;71;13;;82,62;1;
1;1;71;62;;1,17;0;
1;1;71;699;;15,86;0;
1;1;71;31;;0,35;0;
2;1;71;700;;0,1;0;
2;1;71;682;;0,6;0;
1;1;72;13;;82,74;1;
1;1;72;62;;1,17;0;
1;1;72;699;;15,86;0;
1;1;72;32;;0,23;0;
2;1;72;700;;0,1;0;
2;1;72;682;;0,6;0;
1;1;73;622;;0;0;
1;1;73;5;;0,05;0;
1;1;73;684;;0,98;0;
1;1;73;13;;74,53;1;
1;1;73;10;;20,77;3;
1;1;73;41;;1,02;4;
1;1;73;48;;0,21;0;
1;1;73;30;;1,91;0;
1;1;73;32;;0,53;0;
2;1;73;62;;0,75;0;
1;1;75;710;;0;0;
1;1;76;13;3;95,42;1;
1;1;76;62;;0,27;0;
1;1;76;693;;0,31;0;
1;1;76;698;;1,4;0;
1;1;76;29;;0,55;0;
1;1;76;692;1;0,2;0;
1;1;76;35;;1,85;0;
2;1;76;700;4;0,13;0;
