vid;id;id_tmc_kl;name;marka;gost;ei
1;2;47717;Алюміній АК5М2;АК5М2;ДСТУ 2839-94(ГОСТ 15;КГ
1;5;29956;Алюміній АВ-97;;ТУ У 322-00190.44.3-;КГ
1;7;47718;Лом амортизаційний 8;;ДСТУ 4121-2002;КГ
1;10;47719;Брухт сталевий повернення власного виробництва 2;;ДСТУ 4121-2002;КГ
1;13;48332;Брухт привізний вид 2;;ДСТУ 4121-2002;КГ
1;28;2425;Феромарганецьь ФМн78;;ДСТУ 3547-97;КГ
1;29;2426;ФЕРРОМОЛИБДЕН;ФМО60;4759-91 (ИСО 5452-80;КГ
1;30;2429;Феросилікомарганець МнС17-2;;ДСТУ 3548-97;КГ
1;31;2430;Феросиліцій ФС45-3;;1415-78;КГ
1;32;2431;Феросиліцій ФС65-3;;1415-78;КГ
1;35;30304;Ферохром ФХ025А;;4757-91;КГ
1;38;47688;Дрібняк коксовий МК 1, МК 2;;ТУ У 322-00190.44.3-;КГ
1;39;2485;Модифікатор комплексний (раскислитель) МК-21;;ТУ У 275-13608393-00;КГ
1;41;47721;Відходи мехобробки 503;503;4121-2002;КГ
1;42;47693;Порошок алюмінієвий АПВ;;ТУ 48-5-152-78;КГ
1;43;2439;ЧУГУН ПЕРЕДЕЛЬНЫЙ;ПЛ1;ДСТУ 3133-95 (ГОСТ 8;КГ
1;44;2440;Чавун передільний ПЛ2;ПЛ2;ДСТУ 3133-95 (ГОСТ 8;КГ
1;45;2484;СИЛИКОКАЛЬЦИЙ;СК-15;;КГ
1;46;2420;Фероалюміній ФА-30;;ТУ У27.3-13533123-00;КГ
1;48;47722;Залізо з окатків;;;КГ
1;55;47707;СМЕСЬ КОМПЛЕКСНАЯ;СК1;ТУ У 27.5-13608393-004-2004;КГ
1;59;30814;Матеріал вуглецьосодержащий АДН-1 (антрацит дробленний);;;КГ
1;60;47696;Дріт порошковий трикомпонентний  ALCATI;;;КГ
1;62;47689;Матеріал вуглецемісний МК-91Д;;ТУ;КГ
2;63;4735;Аргон вищого гатунку;А;10057-79;М3
2;64;4403;АЦЕТОН;;2768-84;КГ
2;67;47777;Глина формувальна бентонітова (активована) порошкова  С2Т2К(А) Дашуков;С2Т2К(А);28177-89;КГ
2;68;47723;Глина формувальна бентонітова (не активована) порошкова П4Т1К;П4Т1К;28177-89;КГ
